Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10µF/25V","C_0805",139.700000,-114.300000,90.000000,top
"C2","10µF/25V","C_0805",137.795000,-104.140000,90.000000,top
"C3","100pF/50V","C_0805",112.395000,-97.790000,90.000000,top
"D1","SS210 Schottky Diode","D_SMA",119.380000,-139.795000,90.000000,top
"D2","SS210 Schottky Diode","D_SMA",115.570000,-139.795000,90.000000,top
"D3","SS210 Schottky Diode","D_SMA",111.760000,-139.795000,90.000000,top
"D4","SS210 Schottky Diode","D_SMA",107.950000,-139.795000,90.000000,top
"D5","SS210 Schottky Diode","D_SMA",119.380000,-156.305000,90.000000,top
"D6","SS210 Schottky Diode","D_SMA",115.570000,-156.305000,90.000000,top
"D7","SS210 Schottky Diode","D_SMA",111.760000,-156.305000,90.000000,top
"D8","SS210 Schottky Diode","D_SMA",107.950000,-156.305000,90.000000,top
"D9","SS210 Schottky Diode","D_SMA",139.700000,-139.795000,90.000000,top
"D10","SS210 Schottky Diode","D_SMA",135.890000,-139.795000,90.000000,top
"D11","SS210 Schottky Diode","D_SMA",132.080000,-139.795000,90.000000,top
"D12","SS210 Schottky Diode","D_SMA",128.270000,-139.795000,90.000000,top
"D13","SS210 Schottky Diode","D_SMA",139.700000,-156.305000,90.000000,top
"D14","SS210 Schottky Diode","D_SMA",135.890000,-156.305000,90.000000,top
"D15","SS210 Schottky Diode","D_SMA",132.080000,-156.305000,90.000000,top
"D16","SS210 Schottky Diode","D_SMA",128.270000,-156.305000,90.000000,top
"D17","SS210 Schottky Diode","D_SMA",113.570000,-128.905000,180.000000,top
"D18","SS210 Schottky Diode","D_SMA",133.890000,-128.905000,180.000000,top
"R1","10k","R_0603",103.384920,-95.316040,180.000000,top
"U2","AMS1117-3.3","SOT-223",143.510000,-105.410000,180.000000,top
"U3","ESP32-WROOM-32D","ESP32-WROOM-32",124.140000,-104.570000,0.000000,top
